Date,StartTime,EndTime,Duration(hours),CommitCount,MainActivities,CommitMessages
2025-12-11,00:16,00:31,0.5,3,Initial project setup,"Initial project setup with design document;Add App Store status to CLAUDE.md;Add Flutter project scaffolding"
2025-12-12,22:21,23:27,1.1,3,Documentation and foundation,"docs: restructure documentation;docs: adopt Theme.Epic.Task methodology;feat(1.1): implement project foundation theme and home screen"
2025-12-13,01:33,16:36,3.0,6,Core game implementation,"feat(2.2): implement lobby screens;fix: add missing main.dart;feat(3.1): implement API client;feat(3.2): implement WebSocket;feat(1.3): implement game screen;feat(1.4): implement results screen"
2025-12-14,08:43,10:17,1.6,7,M1 completion and polish,"fix(1.4): game flow fixes;docs: update TODO.md and DONE.md;feat(7.1.1): add reveal screen;fix(7.1.1): fix reveal message parsing;docs: update TODO.md;feat(7.1.3): complete reveal animations;feat(7.2+7.3): add sound effects and celebrations"
2025-12-18,22:08,22:08,1.0,1,Feature parity with web,"feat: polish and feature parity with web"
2025-12-19,22:35,22:35,0.5,1,M2 completion,"docs: mark M2 milestone complete"
2025-12-25,17:36,20:40,3.1,9,"Epic 4.1-4.2 - Firebase Auth, Sign-in screen, Auth gating","feat(4.1): Firebase setup and package rename;feat(4.2.5): add sign-in screen;feat(4.2): add auth gating;fix(4.2): lock guest names;feat(4.2): update guest name generator;fix(2.4): photo credit thumbnails;feat(4.2): add sign-out button;fix(4.2): rethrow auth errors;chore(4.1): Sign in with Apple capability"
2025-12-26,22:52,00:20,1.5,13,"Epic 4.3 User Profile, Landing page + Flutter web, Web compatibility fixes, Legal pages","feat(4.3): add user profile screen and stats;feat: add landing page with Flutter web at /play/;fix: skip Firebase init on web;fix: handle web platform in session provider;fix: remove dart:io import;fix: simplify web sign-in screen;feat: landing page updates;feat: add Privacy Policy and Terms of Use;fix: remove emojis"
2026-01-17,21:54,23:55,1.0,5,Firebase config cleanup + package rename merge,"chore: remove old Firebase config backup;Merge pull request #13;chore: log development session;Merge pull request #14;docs: update TODO.md package name"
2026-01-18,00:00,23:50,1.5,3,Wrong answer feedback + host leaving fix + debug cleanup,"fix(7.1): improve wrong answer color feedback;fix(2.2): handle host leaving and connection loss in lobby;chore: remove debug logging from auth files"
2026-01-19,15:15,19:45,1.5,2,Ad frequency logic + AdMob production IDs,"feat(5.1): implement ad frequency logic and IAP ad removal;chore(5.1): configure production AdMob IDs for Android"
2026-01-20,10:30,21:00,2.0,2,Test fixes + banner ad fix,"fix(8.1): fix test failures and improve UI polish (v1.0.0+3);fix(5.1): banner ad hides immediately after purchase (v1.0.0+4)"
2026-01-23,22:00,22:30,0.5,1,Firebase Analytics and Crashlytics,"feat(7.1): add Firebase Analytics and Crashlytics integration"
2026-01-24,18:00,18:30,0.5,1,Party mode reveal UX + styled logo,"fix(7.1): party mode reveal UX and styled logo (v1.0.0+5)"
2026-01-25,13:30,14:00,0.5,1,iOS App Store prep + ad improvements,"feat(5.1): iOS App Store prep and ad improvements (v1.0.0+6)"
2026-01-28,00:00,00:30,0.3,1,Reviewer instructions + iOS screenshots,"chore: update reviewer instructions and add iOS screenshots"
2026-01-29,23:30,23:59,0.3,1,Merge release branch,"Merge branch release/1.0.0+4"
2026-01-30,01:00,22:00,4.0,7,Apple Sign-In fix + test mode + marathon stats + ad retry,"fix(4.1): fix Apple Sign-In with Firebase (v1.0.0+7);feat: add test mode easter egg;fix: hide redundant best streak stat;feat: show marathon personal best;fix: remove deprecated edge-to-edge attributes;chore: bump version;fix: retry interstitial ad loading on failure"
2026-01-31,08:30,21:50,4.0,6,Connection resilience + ATT privacy + leave buttons,"fix(3.2.4): connection loss resilience for game and reveal screens;fix(8.1): iOS ATT privacy + SKAdNetwork + doc updates;fix(3.2): exempt game routes from session redirect;feat(3.2): add leave/exit buttons to game and reveal screens;fix(2.1): simplify party mode countdown;fix(2.1): version display host-left dialog lobby disconnect"
2026-02-01,13:00,19:30,1.5,2,Project status docs + share link/ad/host-left fixes,"docs: update project status to reflect v1.0.0+8 launch;fix(2.1): share link banner ad layout host-left on results screen"
2026-02-02,20:00,23:00,1.5,2,Player name race condition + host-left fixes,"fix(2.1): player name race condition host-left on results web join;fix(2.1): host-left detection on game/reveal screens guest results UX"
2026-02-05,08:30,09:00,0.3,1,Remove unused NSUserTrackingUsageDescription,"fix(8.1): remove unused NSUserTrackingUsageDescription (v1.0.0+10)"
2026-02-09,12:30,22:30,3.0,3,Daily challenge spec + universal links + deep link fixes,"docs: consolidate daily/weekly challenge into Daily Challenge spec;feat(8.1): iOS v1.0.0+11 universal links readable guest names;fix(2.1): add Go Home button to error page fix deep link back navigation"
2026-02-10,13:00,15:45,2.0,3,Name picker + debug gate + project docs,"feat: replace name text field with 3-choice picker + cleanup;fix: gate debugLogDiagnostics behind kDebugMode;docs: update project docs to reflect current state"
2026-02-12,13:00,14:00,1.0,3,iOS App Store rejection fix + resubmission,"fix(8.4): fix iOS App Store rejection + preemptive audit;chore(8.4): bump version to 1.0.0+12;docs: add +12 to version history"
2026-02-13,21:15,21:45,0.5,1,iOS WebSocket connection loss fix,"fix(3.2): iOS WebSocket connection loss during gameplay"
